"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","location_interview",NA,"border_rabea","NA",0.9,NA,0.84769375927532,0.95230624072468,NA,NA
"2","location_interview",NA,"rc_Sahila","NA",0.1,NA,0.04769375927532,0.15230624072468,NA,NA
"3","gender_ki",NA,"female","NA",0.311111111111111,NA,0.230394186885501,0.391828035336721,NA,NA
"4","gender_ki",NA,"male","NA",0.688888888888889,NA,0.608171964663279,0.769605813114499,NA,NA
"dependent.var","nationality_ki",NA,"syrian","NA",1,NA,NA,NA,NA,NA
"dependent.var1","nationality_other",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"17","residency",NA,"no","NA",0.955555555555556,NA,0.919624583598945,0.991486527512166,NA,NA
"21","residency",NA,"yes","NA",0.0444444444444444,NA,0.00851347248783383,0.080375416401055,NA,NA
"dependent.var2","arrive_syria",NA,"yes","NA",1,NA,NA,NA,NA,NA
"18","reason_displace",NA,"airstrikes","NA",0.677777777777778,NA,0.596297282443968,0.759258273111587,NA,NA
"22","reason_displace",NA,"arrival_military","NA",0.255555555555556,NA,0.179506983576934,0.331604127534177,NA,NA
"31","reason_displace",NA,"home_destroyed","NA",0.0333333333333333,NA,0.00203580813954976,0.0646308585271169,NA,NA
"41","reason_displace",NA,"other_home_destr","NA",0.0333333333333333,NA,0.00203580813954976,0.0646308585271169,NA,NA
"19","date_left",NA,"more_than_three","NA",0.111111111111111,NA,0.0563168925706708,0.165905329651551,NA,NA
"23","date_left",NA,"three_days","NA",0.0888888888888889,NA,0.0392706136661932,0.138507164111585,NA,NA
"32","date_left",NA,"two_days","NA",0.1,NA,0.04769375927532,0.15230624072468,NA,NA
"42","date_left",NA,"week","NA",0.211111111111111,NA,0.139957701020816,0.282264521201406,NA,NA
"5","date_left",NA,"yesterday","NA",0.488888888888889,NA,0.401733348874455,0.576044428903323,NA,NA
"dependent.var3","male_0_17","na","NA","NA",2.48888888888889,NA,2.09967633233623,2.87810144544155,NA,NA
"dependent.var4","female_0_17","na","NA","NA",2.63333333333333,NA,2.15658820605135,3.11007846061532,NA,NA
"dependent.var5","male_18_60","na","NA","NA",2.21111111111111,NA,1.84400518141337,2.57821704080885,NA,NA
"dependent.var6","female_18_60","na","NA","NA",2.41111111111111,NA,1.98888885667096,2.83333336555126,NA,NA
"dependent.var7","male_60","na","NA","NA",0.0888888888888889,NA,0.0328753666571713,0.144902411120607,NA,NA
"dependent.var8","female_60","na","NA","NA",0.122222222222222,NA,0.0594774585129598,0.184966985931485,NA,NA
"dependent.var9","group_size","na","NA","NA",9.95555555555556,NA,8.53744878629896,11.3736623248122,NA,NA
"110","unaccompanied",NA,"no","NA",0.877777777777778,NA,0.820669425182004,0.934886130373552,NA,NA
"24","unaccompanied",NA,"yes","NA",0.122222222222222,NA,0.0651138696264483,0.179330574817996,NA,NA
"dependent.var10","unaccompanied_number","na","NA","NA",1.90909090909091,NA,1.22711938787809,2.59106243030373,NA,NA
"111","disabled",NA,"no","NA",0.9,NA,0.84769375927532,0.95230624072468,NA,NA
"25","disabled",NA,"yes","NA",0.1,NA,0.0476937592753199,0.15230624072468,NA,NA
"dependent.var11","disabled_number","na","NA","NA",1.11111111111111,NA,0.928349597005392,1.29387262521683,NA,NA
"112","preg_lacting",NA,"no","NA",0.688888888888889,NA,0.608171964663279,0.769605813114499,NA,NA
"26","preg_lacting",NA,"yes","NA",0.311111111111111,NA,0.230394186885501,0.391828035336721,NA,NA
