"","variable_num","variable","numbers","full_variable"
"1",2,"location_interview_rc_Sahila","0.10000000","% of KIs interviewed at Sahila Transit Reception Centre"
"2",3,"gender_ki_male","0.68888889","% of male KIs"
"3",4,"gender_ki_female","0.31111111","% of female KIs"
"4",5,"residency_yes","0.04444444","% yes"
"5",6,"residency_no","0.95555556","% no"
"6",9,"arrive_syria_yes","1.00000000","% yes"
"7",13,"reason_displace_arrival_military","0.25555556","% reporting the arrival of military presence to the area;"
"8",15,"reason_displace_airstrikes","0.67777778"," % reporting airstrikes in the area"
"9",16,"reason_displace_home_destroyed","0.03333333","% reporting home was destroyed"
"10",22,"date_left_yesterday","0.4888889","% reporting yesterday"
"11",23,"date_left_two_days","0.1","% reporting two days ago"
"12",24,"date_left_three_days","0.08888889","% reporting three days ago"
"13",25,"date_left_more_than_three","0.1111111","% reporting three to seven days ago"
"14",25,"date_left_week","0.2111111","% reporting three to seven days ago"
"15",31,"unaccompanied_yes","0.12222222","% yes"
"16",32,"unaccompanied_no","0.87777778","% no"
"17",36,"disabled_yes","0.10000000","% yes"
"18",37,"disabled_no","0.90000000","% no"
"19",41,"preg_lacting_yes","0.31111111","% yes"
"20",42,"preg_lacting_no","0.68888889","% no"
"21",46,"memb_left_yes","0.70000000","% yes"
"22",47,"memb_left_no","0.30000000","% no"
"23",53,"origin_from_location_yes","0.33333333","% yes"
"24",54,"origin_from_location_no","0.66666667","% no"
"25",57,"wait_border_less_2_hours","0.15555556","% reporting up to 2 hours"
"26",58,"wait_border_2_4_hours","0.21111111","% reporting 2 to less than 4 hours"
"27",59,"wait_border_4_8_hours","0.23333333","% reporting 4 to less than 8 hours"
"28",60,"wait_border_8_24_hours","0.2888889","% reporting 8 to less than 24 hours"
"29",61,"wait_border_two_days","0.05555556","% reporting between 1 and 2 days"
"30",62,"wait_border_three_days","0.05555556","% reporting more than 2 days"
"31",63,"wait_reception_less_2_hours","0.04444444","% reporting up to 2 hours"
"32",64,"wait_reception_2_4_hours","0.03333333","% reporting 2 to less than 4 hours"
"33",65,"wait_reception_4_8_hours","0.03333333","% reporting 4 to less than 8 hours"
"34",66,"wait_reception_8_24_hours","0.83333333","% reporting 8 to less than 24 hours"
"35",67,"wait_reception_two_days","0.05555556","% reporting between 1 and 2 days"
"36",69,"duration_rc_less_2_hours","0.43333333","% reporting up to 2 hours"
"37",70,"duration_rc_2_4_hours","0.16666667","% reporting 2 to less than 4 hours"
"38",71,"duration_rc_4_8_hours","0.05555556","% reporting 4 to less than 8 hours"
"39",72,"duration_rc_8_24_hours","0.3222222","% reporting 8 to less than 24 hours"
"40",73,"duration_rc_two_days","0.02222222","% reporting between 1 and 2 days"
"41",75,"decision_timing_6_less","0.34444444","% reporting 6 hours or less"
"42",76,"decision_timing_1_12","0.08888889","% reporting 7 to 12 hours"
"43",77,"decision_timing_13_18","0.03333333","% reporting 13 to 18 hours"
"44",78,"decision_timing_19_24","0.10000000","% reporting 19 to 24 hours"
"45",80,"decision_timing_one_two_days","0.21111111","% reporting 2 days"
"46",82,"decision_timing_more_two_days","0.22222222","% reporting it was closest/easiest direction for us to leave "
"47",82,"direction_choice_closest","0.01111111","% reporting it was closest/easiest direction for us to leave "
"48",83,"direction_choice_preferred_dest","0.02222222","% reporting it was direction to our preferred destination "
"49",84,"direction_choice_safest_routes","0.74444444","% reporting it was the direction with the safest routes "
"50",85,"direction_choice_direction_af","0.01111111","% reporting they were told go in this direction by the army "
"51",86,"direction_choice_direction_suggested_friends","0.13333333","% reporting they were told to go in this direction by family and friends "
"52",88,"direction_choice_direction_family","0.07777778","% reporting  that it's the direction their families and friends "
"53",88,"direction_choice_other",NA,"% reporting  that it's the direction their families and friends "
"54",90,"transport_Foot","0.50000000","% reporting foot/walking"
"55",91,"transport_Car","0.42222222","% reporting car"
"56",92,"transport_Minibus","0.01111111","% reporting minibus"
"57",93,"transport_Bus","0.01111111","% reporting bus"
"58",96,"transport_other","0.04444444","% reporting other modes of transport"
"59",97,"difficulties.no_water","0.6777778","% reporting no water "
"60",98,"difficulties.no_food","0.6777778","% reporting no food "
"61",99,"difficulties.risk_of_mines","0.01111111","% reporting risk of mines "
"62",100,"difficulties.risk_of_airstrike","0.2777778","% reporting risk of airstrikes "
"63",101,"difficulties.dangerous_river_crossing.",NA,"% reporting dangerous river crossing "
"64",103,"difficulties.risk_of_direct_shooting","0.2111111","% reporting risk of direct shooting "
"65",104,"difficulties.risk_of_indirect_fire.",NA,"% reporting risk of indirect fire "
"66",105,"difficulties.travelling_children_elderly","0.3444444","% reporting travelling with children or elderly "
"67",106,"difficulties.travelling_disabled_ill","0.05555556","% reporting traveling with disabled or ill persons "
"68",107,"difficulties.sleep_open","0.1666667","% reporting sleeping in open air on the journey to here "
"69",108,"difficulties.blocked_routes","0.1222222","% reporting that the group were blocked or refused access along the journey to reach here "
"70",110,"difficulties.none","0.04444444","% reporting no difficulties"
"71",111,"item_bring.cash","0.9111111","% reporting cash"
"72",112,"item_bring.identification_papers","0.9888889","% reporting identification papers"
"73",113,"item_bring.water","0.2222222","% reporting water"
"74",114,"item_bring.clothes","0.6777778","% reporting clothes "
"75",115,"item_bring.household_furniture","0","% reporting household furniture"
"76",116,"item_bring.food","0.1111111","% reporting food"
"77",119,"priority_need.clean_water","0.4444444","% reporting clean water "
"78",120,"priority_need.sanitation_services","0.1111111","% reporting sanitation services "
"79",121,"priority_need.electricity","0.2333333","% reporting electricity "
"80",122,"priority_need.food","0.6777778","% reporting food"
"81",123,"priority_need.shelter","0.9"," % reporting shelter "
"82",124,"priority_need.heathcare","0.4111111","% reporting healthcare "
"83",125,"priority_need.medicine","0.1888889","% reporting medicine "
"84",126,"priority_need.nfis","0.3111111","% reporting NFIs "
"85",127,"priority_need.dont_know","0.02222222","% reporting that they are not sure"
"86",129,"intent_two_days_family_friends_dohuk","0.03333333","% reporting staying with family and friends in Dohuk"
"87",130,"intent_two_days_family_friends_kri","0.13333333","% reporting staying with family and friends somewhere else in KRI"
"88",131,"intent_two_days_camp","0.82222222","% reporting staying in Bardarash camp"
"89",134,"intent_two_days_dont_know","0.01111111","% reporting that they don't know where they will stay"
"90",135,"intent_two_days_other",NA,"% reporting that they will stary somewhere else"
"91",136,"reason_intent_no_choice","0.65555556","% reporting that the have no choice/they are forced"
"92",137,"reason_intent_no_options","0.17777778","% reporting that they do not have any other options "
"93",138,"reason_intent_family_host","0.16666667","% reporting that their friends or family will host them"
"94",139,"reason_intent_other",NA,"% reporting other reasons"
"95",140,"relatives_kri_yes","1.00000000","% yes"
"96",144,"intent_two_weeks_family_friends_dohuk","0.09333333","% reporting staying with family and friends in Dohuk"
"97",145,"intent_two_weeks_family_friends_kri","0.28000000","% reporting staying with family and friends somewhere else in KRI"
"98",148,"intent_two_weeks_own_home","0.02666667","% reporting staying in their own home"
