"","numbers","variable_num","variable","X5"
"158",NA,999,NA,1
"159",NA,999,NA,2
"1",NA,1,NA,3
"2","0.10000000",2,"location_interview_rc_Sahila",4
"160",NA,999,NA,5
"3","0.68888889",3,"gender_ki_male",6
"4","0.31111111",4,"gender_ki_female",7
"162",NA,999,NA,8
"5","0.04444444",5,"residency_yes",9
"6","0.95555556",6,"residency_no",10
"7",NA,7,NA,11
"8",NA,8,NA,12
"164",NA,999,NA,13
"9","1.00000000",9,"arrive_syria_yes",14
"10",NA,10,NA,15
"165",NA,999,NA,16
"166",NA,999,NA,17
"11",NA,11,NA,18
"12",NA,12,NA,19
"13","0.25555556",13,"reason_displace_arrival_military",20
"14",NA,14,NA,21
"15","0.67777778",15,"reason_displace_airstrikes",22
"16","0.03333333",16,"reason_displace_home_destroyed",23
"17",NA,17,NA,24
"18",NA,18,NA,25
"19",NA,19,NA,26
"20",NA,20,NA,27
"169",NA,999,NA,28
"21",NA,21,NA,29
"22","0.4888889",22,"date_left_yesterday",30
"23","0.1",23,"date_left_two_days",31
"24","0.08888889",24,"date_left_three_days",32
"25","0.1111111",25,"date_left_more_than_three",33
"26",NA,26,NA,34
"168",NA,999,NA,35
"172",NA,999,NA,36
"27",NA,27,NA,37
"28",NA,28,NA,38
"29",NA,29,NA,39
"30",NA,30,NA,40
"173",NA,999,NA,41
"31","0.12222222",31,"unaccompanied_yes",42
"32","0.87777778",32,"unaccompanied_no",43
"33",NA,33,NA,44
"34",NA,34,NA,45
"161",NA,999,NA,46
"35",NA,35,NA,47
"171",NA,999,NA,48
"36","0.10000000",36,"disabled_yes",49
"37","0.90000000",37,"disabled_no",50
"38",NA,38,NA,51
"39",NA,39,NA,52
"176",NA,999,NA,53
"40",NA,40,NA,54
"178",NA,999,NA,55
"41","0.31111111",41,"preg_lacting_yes",56
"42","0.68888889",42,"preg_lacting_no",57
"43",NA,43,NA,58
"44",NA,44,NA,59
"167",NA,999,NA,60
"45",NA,45,NA,61
"163",NA,999,NA,62
"46","0.70000000",46,"memb_left_yes",63
"47","0.30000000",47,"memb_left_no",64
"48",NA,48,NA,65
"49",NA,49,NA,66
"183",NA,999,NA,67
"184",NA,999,NA,68
"50",NA,50,NA,69
"51",NA,51,NA,70
"52",NA,52,NA,71
"170",NA,999,NA,72
"53","0.33333333",53,"origin_from_location_yes",73
"54","0.66666667",54,"origin_from_location_no",74
"55",NA,55,NA,75
"56",NA,56,NA,76
"191",NA,999,NA,77
"57","0.15555556",57,"wait_border_less_2_hours",78
"58","0.21111111",58,"wait_border_2_4_hours",79
"59","0.23333333",59,"wait_border_4_8_hours",80
"60","0.2888889",60,"wait_border_8_24_hours",81
"61","0.05555556",61,"wait_border_two_days",82
"62","0.05555556",62,"wait_border_three_days",83
"175",NA,999,NA,84
"63","0.04444444",63,"wait_reception_less_2_hours",85
"64","0.03333333",64,"wait_reception_2_4_hours",86
"65","0.03333333",65,"wait_reception_4_8_hours",87
"66","0.83333333",66,"wait_reception_8_24_hours",88
"67","0.05555556",67,"wait_reception_two_days",89
"68",NA,68,NA,90
"189",NA,999,NA,91
"69","0.43333333",69,"duration_rc_less_2_hours",92
"70","0.16666667",70,"duration_rc_2_4_hours",93
"71","0.05555556",71,"duration_rc_4_8_hours",94
"72","0.3222222",72,"duration_rc_8_24_hours",95
"73","0.02222222",73,"duration_rc_two_days",96
"74",NA,74,NA,97
"187",NA,999,NA,98
"75","0.34444444",75,"decision_timing_6_less",99
"76","0.08888889",76,"decision_timing_1_12",100
"77","0.03333333",77,"decision_timing_13_18",101
"78","0.10000000",78,"decision_timing_19_24",102
"79",NA,79,NA,103
"80","0.21111111",80,"decision_timing_one_two_days",104
"81","0.22222222",81,"decision_timing_more_two_days",105
"201",NA,999,NA,106
"198",NA,999,NA,107
"82","0.01111111",82,"direction_choice_closest",108
"83","0.02222222",83,"direction_choice_preferred_dest",109
"84","0.74444444",84,"direction_choice_safest_routes",110
"85","0.01111111",85,"direction_choice_direction_af",111
"86","0.13333333",86,"direction_choice_direction_suggested_friends",112
"87",NA,87,NA,113
"88","0.07777778",88,"direction_choice_direction_family",114
"89",NA,89,"direction_choice_other",115
"195",NA,999,NA,116
"90","0.50000000",90,"transport_Foot",117
"91","0.42222222",91,"transport_Car",118
"92","0.01111111",92,"transport_Minibus",119
"93","0.01111111",93,"transport_Bus",120
"94",NA,94,NA,121
"95",NA,95,NA,122
"96","0.04444444",96,"transport_other",123
"194",NA,999,NA,124
"179",NA,999,NA,125
"97","0.6777778",97,"difficulties.no_water",126
