"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"1","location_interview",NA,"border_rabea","NA","90% (85%-95%)",NA,0.84769375927532,0.95230624072468,NA,NA,NA
"2","location_interview",NA,"rc_Sahila","NA","10% (5%-15%)",NA,0.04769375927532,0.15230624072468,NA,NA,NA
"3","gender_ki",NA,"female","NA","31% (23%-39%)",NA,0.230394186885501,0.391828035336721,NA,NA,NA
"4","gender_ki",NA,"male","NA","69% (61%-77%)",NA,0.608171964663279,0.769605813114499,NA,NA,NA
"dependent.var","nationality_ki",NA,"syrian","NA","100% ",NA,NA,NA,NA,NA,NA
"dependent.var1","nationality_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"17","residency",NA,"no","NA","96% (92%-99%)",NA,0.919624583598945,0.991486527512166,NA,NA,NA
"21","residency",NA,"yes","NA","4% (1%-8%)",NA,0.00851347248783383,0.080375416401055,NA,NA,NA
"dependent.var2","arrive_syria",NA,"yes","NA","100% ",NA,NA,NA,NA,NA,NA
"18","reason_displace",NA,"airstrikes","NA","68% (60%-76%)",NA,0.596297282443968,0.759258273111587,NA,NA,NA
"22","reason_displace",NA,"arrival_military","NA","26% (18%-33%)",NA,0.179506983576934,0.331604127534177,NA,NA,NA
"31","reason_displace",NA,"home_destroyed","NA","3% (0%-6%)",NA,0.00203580813954976,0.0646308585271169,NA,NA,NA
"41","reason_displace",NA,"other_home_destr","NA","3% (0%-6%)",NA,0.00203580813954976,0.0646308585271169,NA,NA,NA
"19","date_left",NA,"more_than_three","NA","11% (6%-17%)",NA,0.0563168925706708,0.165905329651551,NA,NA,NA
"23","date_left",NA,"three_days","NA","9% (4%-14%)",NA,0.0392706136661932,0.138507164111585,NA,NA,NA
"32","date_left",NA,"two_days","NA","10% (5%-15%)",NA,0.04769375927532,0.15230624072468,NA,NA,NA
"42","date_left",NA,"week","NA","21% (14%-28%)",NA,0.139957701020816,0.282264521201406,NA,NA,NA
"5","date_left",NA,"yesterday","NA","49% (40%-58%)",NA,0.401733348874455,0.576044428903323,NA,NA,NA
"dependent.var3","male_0_17","na","NA","NA","2.49 (2.1-3)",NA,2.09967633233623,2.87810144544155,NA,NA,NA
"dependent.var4","female_0_17","na","NA","NA","2.63 (2.16-3)",NA,2.15658820605135,3.11007846061532,NA,NA,NA
